year,zone,wind_cf_mean,solar_cf_mean
2007,cabo_negro,0.6316190903767207,0.12424355722044204
2007,punta_arenas_centro,0.5674232787270257,0.12414198903606027
2008,cabo_negro,0.6029140390016576,0.1335342173316619
2008,punta_arenas_centro,0.5513290686237198,0.13280482693411622
2009,cabo_negro,0.6707989282683939,0.13294225954808392
2009,punta_arenas_centro,0.6106340055059002,0.13306511055015632
2010,cabo_negro,0.6404285528520175,0.13173869736425436
2010,punta_arenas_centro,0.5902133181144158,0.1321192056000309
2011,cabo_negro,0.5815673948004813,0.13105917950604945
2011,punta_arenas_centro,0.5276439584114027,0.13123991845398345
2012,cabo_negro,0.648906352949541,0.13064185721004695
2012,punta_arenas_centro,0.59018867851326,0.13032983694256026
2013,cabo_negro,0.6405770602428006,0.13241970628872302
2013,punta_arenas_centro,0.581211445998033,0.13203771228751301
2014,cabo_negro,0.5914669598903588,0.12604833066099394
2014,punta_arenas_centro,0.5270178390794406,0.12575915504136848
