asset_id,generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,enabled,source_tech_count,source,cost_key,notes
wind_existing_cabo_negro,wind_existing,cabo_negro,wind,,,1,2.55,0,2025,2025,2025,fixed,TRUE,3,Inherited unchanged from the Punta Arenas case: Pecket Cabo Negro,wind_existing,Cambio: usa la clave wind_existing para leer costos centralizados desde costs.csv. La capacidad existente mantiene inversión hundida.
ocgt_existing_punta_arenas_centro,ocgt_existing,punta_arenas_centro,ocgt,,,,80,0,2025,2025,2025,fixed,TRUE,1,Inherited unchanged from the simplified Punta Arenas case,thermal_pa_existing,Cambio: usa la clave thermal_pa_existing para leer costos centralizados desde costs.csv. La capacidad existente mantiene inversión hundida.
thermal_existing_puerto_natales,thermal_existing,puerto_natales,ocgt,,,,17.575,0,2025,2025,2025,fixed,TRUE,15,Aggregated CNE existing units plus 0.85 MW additions through 2024; verify retirements before publication,thermal_pn_existing,Cambio: usa la clave thermal_pn_existing para leer costos centralizados desde costs.csv. La capacidad existente mantiene inversión hundida.
thermal_existing_porvenir,thermal_existing,porvenir,ocgt,,,,13.845,0,2025,2025,2025,fixed,TRUE,14,Aggregated CNE existing units plus 0.965 MW additions through 2023; verify retirements before publication,thermal_pv_existing,Cambio: usa la clave thermal_pv_existing para leer costos centralizados desde costs.csv. La capacidad existente mantiene inversión hundida.
diesel_existing_puerto_williams,diesel_existing,puerto_williams,diesel,,,,2.65,0,2025,2025,2025,fixed,TRUE,6,CNE ITD Table 4-38: recognised Edelmag diesel capacity,diesel_pw_existing,Cambio: usa la clave diesel_pw_existing para leer costos centralizados desde costs.csv. La capacidad existente mantiene inversión hundida.
lpg_existing_puerto_williams,lpg_existing,puerto_williams,lpg,,,,0.965,0,2025,2025,2025,fixed,TRUE,1,CNE ITD Table 4-38: Inersa GLP capacity after May 2025,lpg_pw_existing,Cambio: usa la clave lpg_pw_existing para leer costos centralizados desde costs.csv. La capacidad existente mantiene inversión hundida.
