asset_id,storage,zone,technology,installed_power_mw,p_nom_max_mw,max_hours,capital_cost,marginal_cost,efficiency_store,efficiency_dispatch,standing_loss,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,enabled,source_tech_count,source,cost_key,notes,cyclic_state_of_charge
bess_4h_cabo_negro,bess_4h,cabo_negro,bess,0,1500,4,,,0.9591663046625439,0.9591663046625439,0.001,2030,2030,,flexible,TRUE,1,Punta Arenas duration-cost assumption with a zone-specific non-binding upper bound,bess_4h,"Cambio: bess_4h conserva duración 4h, eficiencias sqrt(0,92), pérdida 0,001/h e inventario cíclico. Costos centralizados en costs.csv.",TRUE
bess_8h_cabo_negro,bess_8h,cabo_negro,bess,0,750,8,,,0.9591663046625439,0.9591663046625439,0.001,2030,2030,,flexible,TRUE,1,Punta Arenas duration-cost assumption with a zone-specific non-binding upper bound,bess_8h,"Cambio: bess_8h conserva duración 8h, eficiencias sqrt(0,92), pérdida 0,001/h e inventario cíclico. Costos centralizados en costs.csv.",TRUE
bess_4h_puerto_natales,bess_4h,puerto_natales,bess,0,100,4,,,0.9591663046625439,0.9591663046625439,0.001,2030,2030,,flexible,TRUE,1,Punta Arenas duration-cost assumption with a zone-specific non-binding upper bound,bess_4h,"Cambio: bess_4h conserva duración 4h, eficiencias sqrt(0,92), pérdida 0,001/h e inventario cíclico. Costos centralizados en costs.csv.",TRUE
bess_8h_puerto_natales,bess_8h,puerto_natales,bess,0,50,8,,,0.9591663046625439,0.9591663046625439,0.001,2030,2030,,flexible,TRUE,1,Punta Arenas duration-cost assumption with a zone-specific non-binding upper bound,bess_8h,"Cambio: bess_8h conserva duración 8h, eficiencias sqrt(0,92), pérdida 0,001/h e inventario cíclico. Costos centralizados en costs.csv.",TRUE
bess_4h_porvenir,bess_4h,porvenir,bess,0,60,4,,,0.9591663046625439,0.9591663046625439,0.001,2030,2030,,flexible,TRUE,1,Punta Arenas duration-cost assumption with a zone-specific non-binding upper bound,bess_4h,"Cambio: bess_4h conserva duración 4h, eficiencias sqrt(0,92), pérdida 0,001/h e inventario cíclico. Costos centralizados en costs.csv.",TRUE
bess_8h_porvenir,bess_8h,porvenir,bess,0,30,8,,,0.9591663046625439,0.9591663046625439,0.001,2030,2030,,flexible,TRUE,1,Punta Arenas duration-cost assumption with a zone-specific non-binding upper bound,bess_8h,"Cambio: bess_8h conserva duración 8h, eficiencias sqrt(0,92), pérdida 0,001/h e inventario cíclico. Costos centralizados en costs.csv.",TRUE
bess_4h_puerto_williams,bess_4h,puerto_williams,bess,0,15,4,,,0.9591663046625439,0.9591663046625439,0.001,2030,2030,,flexible,TRUE,1,Punta Arenas duration-cost assumption with a zone-specific non-binding upper bound,bess_4h,"Cambio: bess_4h conserva duración 4h, eficiencias sqrt(0,92), pérdida 0,001/h e inventario cíclico. Costos centralizados en costs.csv.",TRUE
bess_8h_puerto_williams,bess_8h,puerto_williams,bess,0,8,8,,,0.9591663046625439,0.9591663046625439,0.001,2030,2030,,flexible,TRUE,1,Punta Arenas duration-cost assumption with a zone-specific non-binding upper bound,bess_8h,"Cambio: bess_8h conserva duración 8h, eficiencias sqrt(0,92), pérdida 0,001/h e inventario cíclico. Costos centralizados en costs.csv.",TRUE
