asset_id,generator,zone,technology,cost_key,installed_capacity,p_min_mw,availability_factor,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,commissioning_year_source,enabled,status,plant,plant_slug,tech,tech_name,plant_type,substation,region,edgs_scenario,edgs_earliest_commissioning_year,edgs_fixed_commissioning_year,topology,requires_hydro_asset,requires_vre_profile,commissioning_policy,builder_version
geothermal_bay_of_plenty_kawerau_topp2,geothermal,bay_of_plenty,geothermal,geothermal_bay_of_plenty_kawerau_topp2,49.000000,0.000000,0.850000,2026,,2026,fixed,assumed_from_status_under_construction,True,Under construction,Kawerau (TOPP2),kawerau_topp2,Geo,Geothermal,PELE,KAW,Bay of Plenty,Reference,,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
geothermal_bay_of_plenty_te_ahi_o_maui_ka22,geothermal,bay_of_plenty,geothermal,geothermal_bay_of_plenty_te_ahi_o_maui_ka22,25.000000,0.000000,0.850000,,,,existing,edgs_status_current,True,Current,Te Ahi O Maui (KA22),te_ahi_o_maui_ka22,Geo,Geothermal,PELE,KAW,Bay of Plenty,Reference,,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
geothermal_bay_of_plenty_taheke_geothermal_project,geothermal,bay_of_plenty,geothermal,geothermal_bay_of_plenty_taheke_geothermal_project,35.000000,0.000000,0.850000,2030,2030,,flexible,edgs_earliest_commissioning_year,True,Applied for consent,Tāheke Geothermal Project,taheke_geothermal_project,Geo,Geothermal,PELE,KAW,Bay of Plenty,Reference,2030,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
geothermal_bay_of_plenty_taheke_stage_2,geothermal,bay_of_plenty,geothermal,geothermal_bay_of_plenty_taheke_stage_2,25.000000,0.000000,0.850000,2040,2040,,flexible,edgs_earliest_commissioning_year,True,Generic,Tāheke: Stage 2,taheke_stage_2,Geo,Geothermal,PELE,KAW,Bay of Plenty,Reference,2040,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
geothermal_bay_of_plenty_taheke_stage_3,geothermal,bay_of_plenty,geothermal,geothermal_bay_of_plenty_taheke_stage_3,25.000000,0.000000,0.850000,2050,2050,,flexible,edgs_earliest_commissioning_year,True,Generic,Tāheke: Stage 3,taheke_stage_3,Geo,Geothermal,PELE,KAW,Bay of Plenty,Reference,2050,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
hydro_storage_bay_of_plenty_bay_of_plenty_hydro_scheme_embedded,hydro_storage,bay_of_plenty,hydro_storage,hydro_storage_bay_of_plenty_bay_of_plenty_hydro_scheme_embedded,25.300000,0.000000,1.000000,,,,existing,edgs_status_current,True,Current,Bay of Plenty hydro scheme (embedded),bay_of_plenty_hydro_scheme_embedded,HydSC,"Hydro, schedulable",PELE,TGA,Bay of Plenty,Reference,,,14,True,False,status_first,2026-09-02-central-costs-scenarios-availability
hydro_storage_bay_of_plenty_bay_of_plenty_hydro_schemes,hydro_storage,bay_of_plenty,hydro_storage,hydro_storage_bay_of_plenty_bay_of_plenty_hydro_schemes,147.600000,0.000000,1.000000,,,,existing,edgs_status_current,True,Current,Bay of Plenty hydro schemes,bay_of_plenty_hydro_schemes,HydSC,"Hydro, schedulable",PELE,TGA,Bay of Plenty,Reference,,,14,True,False,status_first,2026-09-02-central-costs-scenarios-availability
solar_bay_of_plenty_edgecumbe_solar_helios,solar,bay_of_plenty,solar,solar_bay_of_plenty_edgecumbe_solar_helios,115.000000,0.000000,1.000000,2026,2026,,flexible,edgs_earliest_commissioning_year;shifted_after_base_year,True,Fully consented,Edgecumbe solar (Helios),edgecumbe_solar_helios,Solar,Solar,PELE,EDG,Bay of Plenty,Reference,2025,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_bay_of_plenty_edgecumbe_solar_farm_fnsf,solar,bay_of_plenty,solar,solar_bay_of_plenty_edgecumbe_solar_farm_fnsf,38.000000,0.000000,1.000000,2030,2030,,flexible,assumed_from_status_fully_consented,True,Fully consented,Edgecumbe solar farm (FNSF),edgecumbe_solar_farm_fnsf,Solar,Solar,PELE,EDG,Bay of Plenty,Reference,,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_bay_of_plenty_generic_solar_101_200mw_55,solar,bay_of_plenty,solar,solar_bay_of_plenty_generic_solar_101_200mw_55,180.000000,0.000000,1.000000,2030,2030,,flexible,edgs_earliest_commissioning_year,True,Generic,Generic solar (101-200MW): 55,generic_solar_101_200mw_55,Solar,Solar,PELE,TGA,Bay of Plenty,Reference,2030,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_bay_of_plenty_lodestone_rangitaiki_solar_farm,solar,bay_of_plenty,solar,solar_bay_of_plenty_lodestone_rangitaiki_solar_farm,32.000000,0.000000,1.000000,,,,existing,edgs_status_current,True,Current,Lodestone Rangitaiki solar farm,lodestone_rangitaiki_solar_farm,Solar,Solar,PELE,EDG,Bay of Plenty,Reference,,2024,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_bay_of_plenty_lodestone_te_herenga_o_te_ra_solar_farm,solar,bay_of_plenty,solar,solar_bay_of_plenty_lodestone_te_herenga_o_te_ra_solar_farm,30.000000,0.000000,1.000000,2026,,2026,fixed,assumed_from_status_under_construction,True,Under construction,Lodestone Te Herenga o Te Rā solar farm,lodestone_te_herenga_o_te_ra_solar_farm,Solar,Solar,PELE,WAI,Bay of Plenty,Reference,,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_bay_of_plenty_rangitaiki_solar_stage_1,solar,bay_of_plenty,solar,solar_bay_of_plenty_rangitaiki_solar_stage_1,150.000000,0.000000,1.000000,2026,2026,,flexible,edgs_fixed_commissioning_year_treated_as_candidate_availability;shifted_after_base_year,True,Fully consented,Rangitāiki solar (Stage 1),rangitaiki_solar_stage_1,Solar,Solar,PELE,RNG,Bay of Plenty,Reference,,2024,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
